
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-01:38:29#
48, -8.155993703607449e-15
49, -2.237349670808045e-16
50, -2.237349670808045e-16
51, -1.0041875052114951e-16
52, -1.0041862591613377e-16
53, -1.0041862591613377e-16
54, -1.0037318584256252e-16
55, -2.9955438247920435e-17
56, -2.9955438247920435e-17
57, -2.9955438247920435e-17
58, -2.9955438247920435e-17
59, -2.995524380266876e-17
60, -6.667139147994221e-19
61, -6.667139147994221e-19
62, -6.667139147994221e-19
63, -6.593112227561173e-19
64, -6.593112227561173e-19
65, -6.593112227561173e-19
66, -4.749669939079416e-19
67, -4.749669939079416e-19
68, -4.749669939079416e-19
69, -5.495046440356569e-20
70, -5.495046440356569e-20
71, -1.1470813324572262e-20
72, -1.1470813324572262e-20
73, -1.1470813324572262e-20
74, -1.1470813324572262e-20
75, -1.1470813324572262e-20
76, -1.6330568057375498e-22
77, -1.6330568057375498e-22
78, -1.6330568057375498e-22
79, -1.351285156723467e-22
80, -1.351285156723467e-22
81, -8.74363834798362e-23
82, -8.612909659833933e-23
83, -8.479893748375648e-23
84, -8.479893748375648e-23
85, -4.9857981362231e-23
86, -4.9857981362231e-23
87, -4.9857981362231e-23
88, -4.9857981362231e-23
89, -4.9857981362231e-23
90, -4.9857981362231e-23
91, -6.403026984358814e-24
92, -6.497768390214952e-26
93, -6.497768390214952e-26
94, -6.497768390214952e-26
95, -4.812761496662871e-26
96, -1.502306707902895e-26
97, -1.2924697071141057e-26
98, -1.2924697071141057e-26
99, -1.2924697071141057e-26
100, -1.2924697071141057e-26
101, -1.2924697071141057e-26
102, -8.863641131063289e-27
103, -2.5559093329160782e-28
104, -2.5559093329160782e-28
105, -1.9721522630525295e-29
106, -1.9721522630525295e-29
107, -1.9721522630525295e-29
108, -1.9721522630525295e-29
109, -1.9721522630525295e-29
110, -1.9721522630525295e-29
111, -1.9721522630525295e-29
112, -1.9721522630525295e-29
113, -0.0
114, -0.0
115, -0.0
116, -0.0
117, -0.0
118, -0.0
119, -0.0
120, -0.0
121, -0.0
122, -0.0
123, -0.0
124, -0.0
125, -0.0
126, -0.0
127, -0.0
128, -0.0
129, -0.0
130, -0.0
131, -0.0
132, -0.0
133, -0.0
134, -0.0
135, -0.0
136, -0.0
137, -0.0
138, -0.0
139, -0.0
140, -0.0
141, -0.0
142, -0.0
143, -0.0
144, -0.0
145, -0.0
146, -0.0
147, -0.0
148, -0.0
149, -0.0
150, -0.0
151, -0.0
152, -0.0
153, -0.0
154, -0.0
155, -0.0
156, -0.0
157, -0.0
158, -0.0
159, -0.0
160, -0.0
161, -0.0
162, -0.0
163, -0.0
164, -0.0
165, -0.0
166, -0.0
167, -0.0
168, -0.0
169, -0.0
170, -0.0
171, -0.0
172, -0.0
173, -0.0
174, -0.0
175, -0.0
176, -0.0
177, -0.0
178, -0.0
179, -0.0
180, -0.0
181, -0.0
182, -0.0
183, -0.0
184, -0.0
185, -0.0
186, -0.0
187, -0.0
188, -0.0
189, -0.0
190, -0.0
191, -0.0
192, -0.0
193, -0.0
194, -0.0
195, -0.0
196, -0.0
197, -0.0
198, -0.0
199, -0.0
200, -0.0
201, -0.0
202, -0.0
203, -0.0
204, -0.0
205, -0.0
206, -0.0
207, -0.0
208, -0.0
209, -0.0
210, -0.0
211, -0.0
212, -0.0
213, -0.0
214, -0.0
215, -0.0
216, -0.0
217, -0.0
218, -0.0
219, -0.0
220, -0.0
221, -0.0
222, -0.0
223, -0.0
224, -0.0
225, -0.0
226, -0.0
227, -0.0
228, -0.0
229, -0.0
230, -0.0
231, -0.0
232, -0.0
233, -0.0
234, -0.0
235, -0.0
236, -0.0
237, -0.0
238, -0.0
239, -0.0
240, -0.0
241, -0.0
242, -0.0
243, -0.0
244, -0.0
245, -0.0
246, -0.0
247, -0.0
248, -0.0
249, -0.0
250, -0.0
251, -0.0
252, -0.0
253, -0.0
254, -0.0
255, -0.0
256, -0.0
257, -0.0
258, -0.0
259, -0.0
260, -0.0
261, -0.0
262, -0.0
263, -0.0
264, -0.0
265, -0.0
266, -0.0
267, -0.0
268, -0.0
269, -0.0
270, -0.0
271, -0.0
272, -0.0
273, -0.0
274, -0.0
275, -0.0
276, -0.0
277, -0.0
278, -0.0
279, -0.0
280, -0.0
281, -0.0
282, -0.0
283, -0.0
284, -0.0
285, -0.0
286, -0.0
287, -0.0
288, -0.0
289, -0.0
290, -0.0
291, -0.0
292, -0.0
293, -0.0
294, -0.0
295, -0.0
296, -0.0
297, -0.0
298, -0.0
299, -0.0
300, -0.0
301, -0.0
302, -0.0
303, -0.0
304, -0.0
305, -0.0
